date,description,amount
2026-01-02,Whole Foods Market,-87.42
2026-01-03,Shell Gas Station,-45.20
2026-01-04,Netflix Subscription,-15.99
2026-01-05,Starbucks Coffee,-6.75
2026-01-06,Amazon Purchase,-34.99
2026-01-07,CVS Pharmacy,-22.50
2026-01-08,Chipotle Mexican Grill,-14.25
2026-01-09,Uber Ride,-18.60
2026-01-10,Electric Company Bill,-112.34
2026-01-11,Target Shopping,-67.88
2026-01-12,AMC Theaters,-28.50
2026-01-13,Trader Joe's,-54.30
2026-01-14,Spotify Premium,-10.99
2026-01-15,Shell Gas Station,-42.15
2026-01-16,Salary Deposit,3200.00
2026-01-17,Planet Fitness,-24.99
2026-01-18,Domino's Pizza,-22.40
2026-01-19,Water Utility,-48.20
2026-01-20,Best Buy Electronics,-189.99
2026-01-21,McDonald's,-11.89
2026-01-22,Lyft Ride,-14.75
2026-01-23,Internet Provider,-79.99
2026-01-24,Walmart Grocery,-93.15
2026-01-25,Steam Games,-59.99
2026-01-26,Dentist Office,-150.00
2026-01-27,Subway Restaurant,-9.50
2026-01-28,Metro Transit Pass,-45.00
2026-01-29,H&M Clothing,-78.40
2026-01-30,Concert Tickets,-95.00
2026-02-01,Whole Foods Market,-72.18
2026-02-02,Shell Gas Station,-48.90
2026-02-03,Netflix Subscription,-15.99
2026-02-04,Starbucks Coffee,-7.25
2026-02-05,Amazon Purchase,-129.00
2026-02-06,Walgreens,-18.75
2026-02-07,Olive Garden,-52.30
2026-02-08,Uber Ride,-22.40
2026-02-09,Electric Company Bill,-98.76
2026-02-10,IKEA Furniture,-245.00
2026-02-11,Regal Cinemas,-32.00
2026-02-12,Costco Wholesale,-156.42
2026-02-13,Apple Music,-10.99
2026-02-14,Shell Gas Station,-39.80
2026-02-15,Salary Deposit,3200.00
2026-02-16,Yoga Studio,-35.00
2026-02-17,Panera Bread,-16.80
2026-02-18,Gas & Electric,-134.50
2026-02-19,Home Depot,-87.25
2026-02-20,Taco Bell,-8.99
2026-02-21,City Bus Pass,-30.00
2026-02-22,Phone Bill,-65.00
2026-02-23,Kroger Supermarket,-68.90
2026-02-24,PlayStation Store,-44.99
2026-02-25,Doctor Visit Copay,-40.00
2026-02-26,Sushi Restaurant,-48.75
2026-02-27,Parking Garage,-12.00
2026-02-28,Zara Fashion,-112.50
2026-03-01,Whole Foods Market,-81.55
2026-03-02,Chevron Gas,-51.30
2026-03-03,Netflix Subscription,-15.99
2026-03-04,Dunkin Donuts,-5.49
2026-03-05,Amazon Prime Purchase,-45.67
2026-03-06,Pharmacy Express,-31.20
2026-03-07,Thai Restaurant,-38.90
2026-03-08,Uber Eats Delivery,-24.50
2026-03-09,Water Utility,-52.10
2026-03-10,Nike Store,-95.00
2026-03-11,Bowling Alley,-42.00
2026-03-12,Safeway Grocery,-77.33
2026-03-13,Hulu Subscription,-17.99
2026-03-14,Shell Gas Station,-44.60
2026-03-15,Salary Deposit,3200.00
2026-03-16,Gym Membership,-29.99
2026-03-17,Pizza Hut,-19.99
2026-03-18,Internet Provider,-79.99
2026-03-19,Best Buy,-299.00
2026-03-20,Burger King,-12.45
2026-03-21,Train Ticket,-28.00
2026-03-22,ATM Withdrawal,-100.00
2026-03-23,Trader Joe's,-61.20
2026-03-24,Video Game Purchase,-69.99
2026-03-25,Optometrist,-85.00
2026-03-26,Indian Restaurant,-35.60
2026-03-27,Lyft Ride,-16.80
2026-03-28,Old Navy,-54.99
2026-03-29,Music Festival,-120.00
2026-03-30,Miscellaneous Fee,-25.00
2026-03-31,Electric Company Bill,-105.88
